	8	10	21	22	18	11	12	23	15	17	19	28	13	26	27
8	0.0	-inf	0.19023700338050004	-inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	-inf	0.0	0.7256439114791515	0.0	0.1587893131745387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	0.19023700338050004	0.7256439114791515	0.0	0.21674104318119125	0.6658747089070736	0.0	0.0	0.0	0.1214748565269561	0.0	0.0	0.0	0.0	0.0	0.0
22	-inf	0.0	0.21674104318119125	0.0	0.0	0.0	0.0	0.0	0.1349419131984143	0.0	0.0	0.0	0.0	0.0	0.0
18	0.0	0.1587893131745387	0.6658747089070736	0.0	0.0	0.0	0.0	0.0	0.7115211634164778	0.10294809428233143	0.0	0.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.08227773798397994	1.288107061399805	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.08227773798397994	0.0	1.227544347807546	0.5811869591773661	0.8491422050558441	0.46100475336923125	0.552640730284032	0.0	0.0	0.0
23	0.0	0.0	0.0	0.0	0.0	1.288107061399805	1.227544347807546	0.0	0.0	0.0	0.0	0.8275879977286056	0.40481137451395743	0.12188400779983856	0.0
15	0.0	0.0	0.1214748565269561	0.1349419131984143	0.7115211634164778	0.0	0.5811869591773661	0.0	0.0	0.35287605763678453	0.0	0.0	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0	0.10294809428233143	0.0	0.8491422050558441	0.0	0.35287605763678453	0.0	0.5279421285625572	0.0	0.0	0.0	0.7900301963859485
19	0.0	0.0	0.0	0.0	0.0	0.0	0.46100475336923125	0.0	0.0	0.5279421285625572	0.0	0.1342350428672231	0.0	0.0	0.07316559958140734
28	0.0	0.0	0.0	0.0	0.0	0.0	0.552640730284032	0.8275879977286056	0.0	0.0	0.1342350428672231	0.0	0.0	0.11584834898158598	0.1480798491389661
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40481137451395743	0.0	0.0	0.0	0.0	0.0	0.268716471116813	0.0
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12188400779983856	0.0	0.0	0.0	0.11584834898158598	0.268716471116813	0.0	0.3016793243449163
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7900301963859485	0.07316559958140734	0.1480798491389661	0.0	0.3016793243449163	0.0
