AMI_mean	AMI_std
1.0	0.0
1.0	0.0
1.0	0.0
0.9803802359359872	0.025329006492146575
0.9817036006083371	0.023620550046490118
0.9582236903132637	0.05393298389424457
0.9318784889263092	0.04271487267827714
0.9096510069899629	0.033223497692184495
0.8624038738897737	0.051894236268176394
0.7893870989384272	0.05906755713961964
0.7878975140358763	0.06110154161590142
0.7843239161900373	0.04437670636796014
0.777209568022689	0.04825427784234062
0.7392520047514688	0.054463335025164636
0.6730015752391563	0.058342039211933226
0.6538469819950833	0.06713231040877242
0.6142493268682006	0.05986110441912686
0.57423267650762	0.08502629912445078
0.6766535130603819	
0.6637386890728949	
0.6448103592845228	
