N	sigma	esponente	perc
50	0.01	1	0.932287909672124
50	0.01	1	0.9344998277021616
50	0.01	1	0.9455718543168065
50	0.01	1	0.9225028588806492
50	0.01	1	0.9363227279937558
50	0.01	1	0.9206506890645197
50	0.01	5	0.999766948330141
50	0.01	5	0.9998596706521662
50	0.01	5	0.9998742521101207
50	0.01	5	0.9998599962132024
50	0.01	5	0.9998945684473829
50	0.01	5	0.9999397126271627
50	0.01	10	0.9999801491345348
50	0.01	10	0.999990424547417
50	0.01	10	0.9999499616099448
50	0.01	10	0.9999997678025082
50	0.01	10	0.9999976078507407
50	0.01	10	0.9999749138010828
50	0.01	20	0.999999942024264
50	0.01	20	0.9999999754568311
50	0.01	20	0.999999998798962
50	0.01	20	0.9999999970556046
50	0.01	20	0.999999995289349
50	0.01	20	0.9999999996141891
50	0.01	30	0.9999999964957142
50	0.01	30	0.9999999980974587
50	0.01	30	0.9999999998844402
50	0.01	30	0.9999999999986757
50	0.01	30	0.9999999999716357
50	0.01	30	0.9999999999359216
50	0.01	40	0.9999999999999634
50	0.01	40	0.9999999999905501
50	0.01	40	0.9999999999999969
50	0.01	40	0.9999999929027276
50	0.01	40	0.9999999999999996
50	0.01	40	1.0
50	0.01	50	0.9999999999999983
50	0.01	50	0.9999999999999957
50	0.01	50	1.0
50	0.01	50	1.0
50	0.01	50	1.0
50	0.01	50	1.0
50	0.015848931924611134	1	0.8889292746765018
50	0.015848931924611134	1	0.9028497828945384
50	0.015848931924611134	1	0.8858566780938902
50	0.015848931924611134	1	0.90133156106668
50	0.015848931924611134	1	0.8865952593349521
50	0.015848931924611134	1	0.904654575349707
50	0.015848931924611134	5	0.9990447220275352
50	0.015848931924611134	5	0.9991769755999904
50	0.015848931924611134	5	0.9993568506832389
50	0.015848931924611134	5	0.9989912602800595
50	0.015848931924611134	5	0.9997863944844143
50	0.015848931924611134	5	0.9995941942248979
50	0.015848931924611134	10	0.9999251650674034
50	0.015848931924611134	10	0.9999285515496582
50	0.015848931924611134	10	0.9994275514200869
50	0.015848931924611134	10	0.9996908638097316
50	0.015848931924611134	10	0.9999098638197078
50	0.015848931924611134	10	0.999275918201854
50	0.015848931924611134	20	0.9999990142178522
50	0.015848931924611134	20	0.9999999641511265
50	0.015848931924611134	20	0.9999986567028983
50	0.015848931924611134	20	0.9999048530496171
50	0.015848931924611134	20	0.9999789373478839
50	0.015848931924611134	20	0.9928351243832023
50	0.015848931924611134	30	0.9999998168512111
50	0.015848931924611134	30	0.9999999849579352
50	0.015848931924611134	30	0.999999995052462
50	0.015848931924611134	30	0.9999998109879935
50	0.015848931924611134	30	0.9999999471515381
50	0.015848931924611134	30	0.9999999796452907
50	0.015848931924611134	40	0.9999999912576119
50	0.015848931924611134	40	0.9999740737868739
50	0.015848931924611134	40	0.9999999999926837
50	0.015848931924611134	40	0.9999998126021822
50	0.015848931924611134	40	0.9999968194382218
50	0.015848931924611134	40	0.9999997714486576
50	0.015848931924611134	50	0.9999999999998149
50	0.015848931924611134	50	0.9999999999955548
50	0.015848931924611134	50	0.9999999889361508
50	0.015848931924611134	50	0.9999999977623368
50	0.015848931924611134	50	0.9999999999972704
50	0.015848931924611134	50	0.9999999999812202
50	0.025118864315095794	1	0.8350246380579128
50	0.025118864315095794	1	0.8252295716590152
50	0.025118864315095794	1	0.8334707946260587
50	0.025118864315095794	1	0.785977561725699
50	0.025118864315095794	1	0.8127461267622069
50	0.025118864315095794	1	0.8450173262955719
50	0.025118864315095794	5	0.9888784335281936
50	0.025118864315095794	5	0.9928323932888318
50	0.025118864315095794	5	0.9966641711227112
50	0.025118864315095794	5	0.9783738726519492
50	0.025118864315095794	5	0.9885878719699472
50	0.025118864315095794	5	0.9977092487883501
50	0.025118864315095794	10	0.9995060829568639
50	0.025118864315095794	10	0.995226414201086
50	0.025118864315095794	10	0.9998233256011464
50	0.025118864315095794	10	0.9978879360107256
50	0.025118864315095794	10	0.9993506214544383
50	0.025118864315095794	10	0.998299621319486
50	0.025118864315095794	20	0.9999928975102448
50	0.025118864315095794	20	0.9969347490978876
50	0.025118864315095794	20	0.9798087711548324
50	0.025118864315095794	20	0.9998378364303255
50	0.025118864315095794	20	0.9999670177449289
50	0.025118864315095794	20	0.9997302720249329
50	0.025118864315095794	30	0.999864601875333
50	0.025118864315095794	30	0.9981629714744962
50	0.025118864315095794	30	0.9992431636920419
50	0.025118864315095794	30	0.9999033926605321
50	0.025118864315095794	30	0.9999910783168409
50	0.025118864315095794	30	0.9971445488742195
50	0.025118864315095794	40	0.9998437556759533
50	0.025118864315095794	40	0.9999911993636916
50	0.025118864315095794	40	0.9997356196475269
50	0.025118864315095794	40	0.9999816643847106
50	0.025118864315095794	40	0.9999901327052797
50	0.025118864315095794	40	0.9999997856893323
50	0.025118864315095794	50	0.9999838726237142
50	0.025118864315095794	50	0.9939298892697359
50	0.025118864315095794	50	0.9999960561368931
50	0.025118864315095794	50	0.9994549822529785
50	0.025118864315095794	50	0.9999325568399366
50	0.025118864315095794	50	0.9768554861755592
50	0.039810717055349734	1	0.7333357847347521
50	0.039810717055349734	1	0.7243440668595456
50	0.039810717055349734	1	0.7115202933751722
50	0.039810717055349734	1	0.7266687610329181
