time	father	part_number	neighbors	leaf	vertici	box
0.0	nan	0	[nan, nan, nan, nan]	False	[[[-0.3805673850246102, -0.22893875683659257], [1.2920789474522596, -0.22893875683659257]], [[1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239]], [[1.2920789474522596, 0.3394856676672239], [-0.3805673850246102, 0.3394856676672239]], [[-0.3805673850246102, 0.3394856676672239], [-0.3805673850246102, -0.22893875683659257]]]	[[-0.3805673850246102, -0.22893875683659257], [1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239], [-0.3805673850246102, 0.3394856676672239]]
0.44223283896885973	0	1	[2, nan, nan, nan]	False	[[[0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239]], [[0.4861924938770198, 0.3394856676672239], [-0.3805673850246102, 0.3394856676672239]], [[-0.3805673850246102, 0.3394856676672239], [-0.3805673850246102, -0.22893875683659257]], [[-0.3805673850246102, -0.22893875683659257], [0.49936772797067674, -0.22893875683659254]]]	[[0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239], [-0.3805673850246102, 0.3394856676672239], [-0.3805673850246102, -0.22893875683659257]]
0.44223283896885973	0	2	[3, nan, nan, nan]	False	[[[0.4861924938770198, 0.3394856676672239], [0.49936772797067674, -0.22893875683659254]], [[0.49936772797067674, -0.22893875683659254], [1.2920789474522596, -0.22893875683659257]], [[1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239]], [[1.2920789474522596, 0.3394856676672239], [0.4861924938770198, 0.3394856676672239]]]	[[0.4861924938770198, 0.3394856676672239], [0.49936772797067674, -0.22893875683659254], [1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239]]
0.8783113097141708	1	3	[4, nan, 5, nan]	False	[[[-0.05419348517729302, 0.33948566766722377], [0.1152343800727722, -0.2289387568365926]], [[0.1152343800727722, -0.2289387568365926], [0.49936772797067674, -0.22893875683659254]], [[0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239]], [[0.4861924938770198, 0.3394856676672239], [-0.05419348517729302, 0.33948566766722377]]]	[[-0.05419348517729302, 0.33948566766722377], [0.1152343800727722, -0.2289387568365926], [0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239]]
0.8783113097141708	1	4	[8, 7, nan, nan, nan]	False	[[[0.1152343800727722, -0.2289387568365926], [0.04583295566400373, 0.00390053834707941]], [[0.04583295566400373, 0.00390053834707941], [-0.05419348517729302, 0.33948566766722377]], [[-0.05419348517729302, 0.33948566766722377], [-0.3805673850246102, 0.3394856676672239]], [[-0.3805673850246102, 0.3394856676672239], [-0.3805673850246102, -0.22893875683659257]], [[-0.3805673850246102, -0.22893875683659257], [0.1152343800727722, -0.2289387568365926]]]	[[0.1152343800727722, -0.2289387568365926], [-0.05419348517729302, 0.33948566766722377], [-0.3805673850246102, 0.3394856676672239], [-0.3805673850246102, -0.22893875683659257]]
1.4623205617430672	2	5	[6, nan, 13, nan]	True	[[[0.7644040680832307, -0.22893875683659257], [1.156889093575522, 0.3394856676672238]], [[1.156889093575522, 0.3394856676672238], [0.4861924938770198, 0.3394856676672239]], [[0.4861924938770198, 0.3394856676672239], [0.49936772797067674, -0.22893875683659254]], [[0.49936772797067674, -0.22893875683659254], [0.7644040680832307, -0.22893875683659257]]]	[[0.7644040680832307, -0.22893875683659257], [1.156889093575522, 0.3394856676672238], [0.4861924938770198, 0.3394856676672239], [0.49936772797067674, -0.22893875683659254]]
1.4623205617430672	2	6	[5, nan, nan, nan]	True	[[[1.156889093575522, 0.3394856676672238], [0.7644040680832307, -0.22893875683659257]], [[0.7644040680832307, -0.22893875683659257], [1.2920789474522596, -0.22893875683659257]], [[1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239]], [[1.2920789474522596, 0.3394856676672239], [1.156889093575522, 0.3394856676672238]]]	[[1.156889093575522, 0.3394856676672238], [0.7644040680832307, -0.22893875683659257], [1.2920789474522596, -0.22893875683659257], [1.2920789474522596, 0.3394856676672239]]
1.2244776411492286	3	7	[8, nan, 10]	False	[[[0.04583295566400373, 0.00390053834707941], [0.35368491331945795, 0.3394856676672239]], [[0.35368491331945795, 0.3394856676672239], [-0.05419348517729302, 0.33948566766722377]], [[-0.05419348517729302, 0.33948566766722377], [0.04583295566400373, 0.00390053834707941]]]	[[0.04583295566400373, 0.00390053834707941], [0.35368491331945795, 0.3394856676672239], [-0.05419348517729302, 0.33948566766722377]]
1.2244776411492286	3	8	[11, 10, 9, nan, 5, nan]	False	[[[0.35368491331945795, 0.3394856676672239], [0.04583295566400373, 0.00390053834707941]], [[0.04583295566400373, 0.00390053834707941], [0.06327842507096988, -0.05462838718248227]], [[0.06327842507096988, -0.05462838718248227], [0.1152343800727722, -0.2289387568365926]], [[0.1152343800727722, -0.2289387568365926], [0.49936772797067674, -0.22893875683659254]], [[0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239]], [[0.4861924938770198, 0.3394856676672239], [0.35368491331945795, 0.3394856676672239]]]	[[0.35368491331945795, 0.3394856676672239], [0.04583295566400373, 0.00390053834707941], [0.1152343800727722, -0.2289387568365926], [0.49936772797067674, -0.22893875683659254], [0.4861924938770198, 0.3394856676672239]]
1.3837885831237107	4	9	[10, nan, nan, 14]	True	[[[0.06327842507096988, -0.05462838718248227], [-0.3805673850246102, -0.05746913693547953]], [[-0.3805673850246102, -0.05746913693547953], [-0.3805673850246102, -0.22893875683659257]], [[-0.3805673850246102, -0.22893875683659257], [0.1152343800727722, -0.2289387568365926]], [[0.1152343800727722, -0.2289387568365926], [0.06327842507096988, -0.05462838718248227]]]	[[0.06327842507096988, -0.05462838718248227], [-0.3805673850246102, -0.05746913693547953], [-0.3805673850246102, -0.22893875683659257], [0.1152343800727722, -0.2289387568365926]]
